#factions																	
Id	Enabled	InitialPower	InitialTechLevel	InitialPlayerReputation	FactionType	AllianceType	SpawnMissionChance	Strategies	StrategyDurationMinHours	StrategyDurationMaxHours	GuardCreatureId	AgentCreatureId	MinQmorphosWhenVictims	UseGeneralRewards	PortraitsByStrategy	ItemDropCategories	
venus1	TRUE	100	65	JunglePlatform MercuryStation	#a5bd7d	0.7	venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal	venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venera_surface_cave_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
venus2	TRUE	100	65	JunglePlatform VenusLab	#a5bd7d	0.7	venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venera_surface_cave_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
venus3	TRUE	100	65	JunglePlatform VenusLab	#a5bd7d	0.7	venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venera_surface_cave_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
venus4	TRUE	100	65	JunglePlatform VenusLab	#a5bd7d	0.7	venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venera_surface_cave_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
venus5	TRUE	100	65	JunglePlatform VenusLab	#a5bd7d	0.7	venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface venus_jungle_surface gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venus_jungle_cornerwall venera_surface_cave_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mercury1	TRUE	100	65	MercurySurface MercuryStation	#bd9c7f	0.7	venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal	venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mercury2	TRUE	100	65	MercurySurface VenusLab	#bd9c7f	0.7	venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mercury3	TRUE	100	65	MercurySurface VenusLab	#bd9c7f	0.7	venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mercury4	TRUE	100	65	MercurySurface VenusLab	#bd9c7f	0.7	venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mercury5	TRUE	100	65	MercurySurface VenusLab	#bd9c7f	0.7	venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal venera_surface_floor_normal gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal venera_surface_cave_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
orbit1	TRUE	100	65	VenOrbit	#8ba7bd	0.7	gray_metal_floor_normal gray_metal_floor_normal gray_metal_floor_normal gray_metal_floor_normal gray_metal_floor_normal gray_metal_deep_draft	gray_metal_floor_normal gray_metal_floor_normal gray_metal_floor_normal gray_metal_floor_normal gray_metal_floor_normal gray_metal_deep_draft	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersSpace	FillBordersSolid					
orbit2	TRUE	100	65	MercuryStation	#bdb67d	0.7	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal gray_metal_deep_draft	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersAsteroid	FillBordersSolid					
orbit3	TRUE	100	65	VenOrbit	#bdb67d	0.7	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal gray_metal_deep_draft	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersAsteroid	FillBordersSolid					
prison1	TRUE	100	65	Prison	#bd9f5d	0.7	mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal gray_metal_deep_draft	mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal gray_metal_deep_draft	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersSpace	FillBordersSolid					
military1	TRUE	100	65	Prison	#bd9f5d	0.7	mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal gray_metal_deep_draft	mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal mech_metal_floor_normal gray_metal_deep_draft	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersSpace	FillBordersSolid					
lab1	TRUE	100	65	VenusLab	#5dbdb1	0.7	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal gray_metal_deep_draft	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_rock_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSpace	FillBordersSolid					
station1	TRUE	100	65	MercuryStation	#bdb67d	0.7	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal gray_metal_deep_draft	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersAsteroid	FillBordersSolid					
station2	TRUE	100	65	MercuryStation	#bdb67d	0.7	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal gray_metal_deep_draft	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersAsteroid	FillBordersSolid					
mars1	TRUE	100	65	MarsSurface MercuryStation	#e6c8c8	0.7	mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal	mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mars2	TRUE	100	65	MarsSurface VenusLab	#e6c8c8	0.7	mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mars3	TRUE	100	65	MarsSurface VenusLab	#e6c8c8	0.7	mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mars4	TRUE	100	65	MarsSurface MercuryStation	#e6c8c8	0.7	mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal	mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
mars5	TRUE	100	65	MarsSurface MercuryStation	#e6c8c8	0.7	mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal mars_floor_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal	mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal mars_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
moon1	TRUE	100	65	MoonSurface MercuryStation	#8ba7bd	0.7	moon_surface_normal moon_surface_normal moon_surface_normal moon_surface_normal moon_surface_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal	moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersSolid	FillBordersSolid					
moon2	TRUE	100	65	MoonSurface VenusLab	#8ba7bd	0.7	moon_surface_normal moon_surface_normal moon_surface_normal moon_surface_normal moon_surface_normal gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
moon3	TRUE	100	65	MoonSurface MercuryStation	#8ba7bd	0.7	moon_surface_normal moon_surface_normal moon_surface_normal moon_surface_normal moon_surface_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal	moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersSolid	FillBordersSolid					
moon4	TRUE	100	65	MoonSurface MercuryStation	#8ba7bd	0.7	moon_surface_normal moon_surface_normal moon_surface_normal moon_surface_normal moon_surface_normal gray_metal_deep_draft	mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal mercury_metal_floor_normal	moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal moon_rock_cornerwall_normal	gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal gray_metal_cornerwall_normal moon_rock_cornerwall_normal	FillBordersSolid	FillBordersSolid					
cerera1	TRUE	100	65	CereraSurface CereraStation	#8ba7bd	0.7	cerera_nature_floor cerera_nature_floor cerera_nature_floor cerera_nature_floor cerera_nature_floor gray_metal_deep_draft	cerera_concrete_normal_floor cerera_concrete_normal_floor cerera_concrete_normal_floor cerera_concrete_normal_floor cerera_concrete_normal_floor cerera_concrete_normal_floor	cerera_nature_cornerwall cerera_nature_cornerwall cerera_nature_cornerwall cerera_nature_cornerwall cerera_nature_cornerwall cerera_nature_cornerwall	cerera_metal_cornerwall cerera_metal_cornerwall cerera_metal_cornerwall cerera_metal_cornerwall cerera_metal_cornerwall cerera_metal_cornerwall	FillBordersSolid	FillBordersSolid					
cerera2	TRUE	100	65	CereraSurface VenusLab	#8ba7bd	0.7	cerera_nature_floor cerera_nature_floor cerera_nature_floor cerera_nature_floor cerera_nature_floor gray_metal_deep_draft	lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal lab_floor_normal	cerera_nature_cornerwall cerera_nature_cornerwall cerera_nature_cornerwall cerera_nature_cornerwall cerera_nature_cornerwall cerera_nature_cornerwall	moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal moon_metal_cornerwall_normal venera_surface_cave_cornerwall_normal	FillBordersSolid	FillBordersSolid					
#end																	
																	
#storymissions																	
Id	StationId	BeneficiaryFactionId	VictimFactionId	PrizeItems	WinCondition	WinConditionParameters	MinTechLevel	UseBiomeDropLists	ItemsPointsByStages	MonsterPointsByStages	ItemsRequirement						
Tutorial	Orphan	Magnum	CResistance		KillAllPercent	1	1	FALSE									
SecondTutorial	RogueCity	Magnum	CResistance	quest_AncomData small_basic_ammo medical_kit_1 rags rags small_backpack_1 frag_grenade frag_grenade armor_plates armor_plates weapon_parts weapon_parts	KillObstacle	serverStation 1	3	FALSE	stage1 300 stage2 300 stage3 300	stage1 300 stage2 300 stage3 300							
SinkholePeaceVisit	SinkholeOasis	XiomaraMasks	RealWare		Custom		5	TRUE	stage1 300	stage1 300							
UseYourHead	FlatObsidian	Magnum	CResistance	phase_bomb	Custom		5	TRUE	stage1 500 stage2 500 stage3 600 stage4 600	stage1 400 stage2 400 stage3 400 stage4 500							
RuinsOfAncientBramfaturas	SinkholeOasis	XiomaraMasks	RealWare	venus_spear_hmg_1	ItemInInventoryById	venus_spear_hmg_1 1	5	TRUE	stage1 200 stage2 800 stage3 1000 stage4 0	stage1 400 stage2 400 stage3 600 stage4 0	phase_bomb						
CommunityAndAnarchy	Oddibjord	AnCom	Unknown		ItemInInventoryById	quest_goldenSkull 1	6	FALSE	stage1 800 stage2 800 stage3 800 stage4 1000 stage5 1000	stage1 600 stage2 800 stage3 800 stage4 400 stage5 1200							
UnitedForever	HISUnveiled	CResistance		military_heavy_helmet_1	KillAllPercent	0.25	5	TRUE	stage1 100	stage1 100							
HumansAreSuchEasyPrey	Candle	Tezctlan		military_heavy_helmet_1	KillAllPercent	0.25	5	TRUE	stage1 100	stage1 100							
LesserEvil	Oddibjord	XiomaraMasks		military_heavy_helmet_1	KillAllPercent	0.25	5	TRUE	stage1 100	stage1 100							
Manifesto	HeritageStation	CResistance	SBN	civ_marksman_1 rifle_basic_ammo servo_backpack_1 civ_medium_armor_2 civ_medium_helmet_2 firearm_repair_kit automap thermal_grenade tool_container engineering_parts_container welding_machine_device	Custom	1	6	FALSE	stage1 300 stage2 300 stage3 300	stage1 300 stage2 400 stage3 500							
PoisonTrial	FeatheredTemple	Magnum	Tezctlan	skull_blood_revival	Custom	1	6	FALSE	stage1 100	stage1 100							
CovertOps	HumankindsHope	RealWare	AnCom	military_heavy_helmet_1 rwa_heavy_helmet_1 big_backpack_1 medical_kit_2 medical_kit_2 medical_kit_2 medium_basic_ammo medium_basic_ammo	Custom	1	6	TRUE	stage1 500 stage2 500 stage3 600 stage4 600	stage1 400 stage2 400 stage3 400 stage4 500	quest_emiBurner						
GhoulShip	HISWoodpecker	UnchainedBelt	CoreWard	pirates_assault_1 trash_armored_vest_1 rifle_basic_ammo rifle_basic_ammo alcogol_container alcogol_container	Custom	1	6	TRUE	stage1 500 stage2 500 stage3 600 stage4 600 stage5 600	stage1 400 stage2 400 stage3 400 stage4 500 stage5 600							
Raid	Schwerin	SBN	Dilthey	sbn_heavy_armor_1 sbn_rail_shotgun_1 energy_turret battery_basic_ammo battery_basic_ammo	Custom	1	5	TRUE	stage1 100	stage1 100							
TestingGround	LouhiCity	AnCom		military_heavy_helmet_1	KillAllPercent	0.25	5	TRUE	stage1 100	stage1 100							
#end																	
																	
#tilesettransformation																	
Id	Health	Armor	TilesetToMutateName														
gray_metal_cornerwall_normal	100	10	gray_metal_cornerwall_destroyed														
gray_metal_cornerwall_destroyed	50	10	gray_metal_floor_destroyed														
gray_metal_floor_normal	100	10	gray_metal_floor_damaged														
gray_metal_floor_damaged	50	10	gray_metal_floor_destroyed														
gray_metal_wall_normal	100	10	gray_metal_wall_damaged														
gray_metal_wall_damaged	50	10	gray_metal_wall_destroyed														
gray_metal_wall_destroyed	50	10	gray_metal_floor_destroyed														
gray_metal_elevator_floor_normal	100	10	gray_metal_elevator_floor_damaged														
moon_metal_cornerwall_normal	100	10	moon_metal_cornerwall_destroyed														
moon_metal_cornerwall_destroyed	50	10	moon_metal_floor_destroyed														
moon_metal_floor_normal	100	10	moon_metal_floor_damaged														
moon_metal_floor_damaged	50	10	moon_metal_floor_destroyed														
moon_metal_wall_normal	100	10	moon_metal_wall_damaged														
moon_metal_wall_damaged	50	10	moon_metal_wall_destroyed														
moon_metal_wall_destroyed	50	10	moon_metal_floor_destroyed														
moon_rock_cornerwall_normal	300	10	moon_surface_normal														
moon_rock_wall_normal	300	10	moon_surface_normal														
green_metal_wall_normal	100	10	gray_metal_floor_destroyed														
orange_metal_wall_normal	100	10	gray_metal_floor_destroyed														
conveyer_metal_floor_normal	100	10	gray_metal_floor_destroyed														
mech_metal_floor_normal	100	10	mech_metal_floor_damaged														
mech_metal_floor_damaged	50	10	gray_metal_floor_destroyed														
mech_metal_wall_normal	100	10	mech_metal_wall_damaged														
mech_metal_wall_damaged	50	10	gray_metal_floor_destroyed														
mercury_metal_floor_normal	100	10	mercury_metal_floor_damaged														
mercury_metal_floor_damaged	50	10	gray_metal_floor_destroyed														
shipmagnum_cornerwall_normal	100	10	shipmagnum_cornerwall_destroyed														
shipmagnum_cornerwall_destroyed	50	10	magnum_floor_destroyed														
magnum_floor_normal	100	10	magnum_floor_damaged														
magnum_floor_damaged	50	10	magnum_floor_destroyed														
magnum_wall_normal	100	10	magnum_wall_damaged														
magnum_wall_damaged	50	10	magnum_wall_destroyed														
magnum_wall_destroyed	50	10	magnum_floor_destroyed														
lab_floor_normal	100	10	lab_floor_damaged														
lab_floor_damaged	50	10	lab_floor_totaldestroyed														
lab_floor_destroyed	50	10	lab_floor_totaldestroyed														
venus_jungle_cornerwall	300	10	venus_jungle_surface														
venera_surface_cave_cornerwall_normal	300	10	venera_surface_floor_destroyed														
mars_temple_cornerwall	300	10	mars_floor_damaged														
mars_cornerwall_normal	300	10	mars_floor_damaged														
mars_facewall_normal	300	10	mars_floor_damaged														
mars_floor_normal	100	10	mars_floor_damaged														
mars_temple_floor_normal	100	10	mars_floor_damaged														
venera_surface_floor_normal	100	10	venera_surface_floor_destroyed														
temple_normal_floor	100	10	temple_floor_destroyed														
temple_cornerwall	300	200	temple_floor_destroyed														
temple_facewall_normal	300	200	temple_floor_destroyed														
cerera_metal_cornerwall	150	15	cerera_concrete_destroyed_floor														
cerera_metal_facewall	150	15	cerera_concrete_destroyed_floor														
cerera_concrete_normal_floor	100	10	cerera_concrete_damaged_floor														
cerera_concrete_damaged_floor	50	10	cerera_concrete_destroyed_floor														
#end																	
																	
#missionobjectives																	
	BeneficiaryFactionType	VictimFactionType	ValidProcMissionTypes	MonsterVariants	ItemVariants	ObstacleVariants											
	Corp	Corp	RaiderCapture Elimination Sabotage Espionage	quest_manager quest_professor	quest_fresco_data quest_device	spaceScaner cargoBlock											
	Corp	CivilRes	RaiderCapture Elimination Sabotage Espionage	quest_cresist_elite	quest_fresco_data	cargoBlock											
	Corp	Pirates	RaiderCapture Elimination Sabotage Espionage	quest_pirates_elite	quest_fresco_data	cargoBlock											
	Corp	Tezctlan	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Corp	Xiomara	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Corp	Shedu	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Tezctlan	Corp	RaiderCapture Elimination Sabotage Ritual	quest_mercury_force	quest_igvalit	spaceScaner											
